iter	MultiClass
0	1.689883634
1	1.546017587
2	1.416827801
3	1.322975575
4	1.230005971
5	1.157965162
6	1.081605693
7	1.028034785
8	0.9778896255
9	0.9290553254
10	0.8992536922
11	0.8527059214
12	0.8133735706
13	0.7838254963
14	0.7556287516
15	0.7267857214
16	0.7019332713
17	0.6750339945
18	0.641284883
19	0.6246240107
20	0.6091044541
21	0.5888666419
22	0.5667526838
23	0.551045497
24	0.5378050196
25	0.527751143
26	0.5152143178
27	0.5068375817
28	0.4929495942
29	0.4847239084
30	0.47252169
31	0.466545845
32	0.4539360458
33	0.444528463
34	0.433095439
35	0.4261569906
36	0.417282095
37	0.4091708174
38	0.401136146
39	0.390714159
40	0.3841549106
41	0.3761423438
42	0.3680151551
43	0.3628417319
44	0.3566793231
45	0.3526751324
46	0.344696421
47	0.3388082969
48	0.333299561
49	0.3303797336
50	0.3271668075
51	0.3199850681
52	0.3152486781
53	0.3114165139
54	0.3084992412
55	0.3024930178
56	0.29869526
57	0.2941896306
58	0.2910011362
59	0.2876235518
60	0.2845614209
61	0.2828059223
62	0.2799469239
63	0.2749182362
64	0.2716055997
65	0.2621679793
66	0.2578750635
67	0.2561972309
68	0.2526885009
69	0.2509934624
70	0.2471738763
71	0.2455437365
72	0.2429328487
73	0.2395825733
74	0.2372797347
75	0.2342654013
76	0.2318675517
77	0.2302179845
78	0.2284924119
79	0.2266046338
80	0.2211432926
81	0.2182802088
82	0.2152727102
83	0.213062785
84	0.2092517182
85	0.2057832548
86	0.2029133227
87	0.1993877716
88	0.1971158706
89	0.1952494419
90	0.1945712941
91	0.1922371568
92	0.1906140747
93	0.1890288389
94	0.186554943
95	0.1846665474
96	0.1826172165
97	0.1810051473
98	0.1793134474
99	0.1775931743
100	0.1756641491
101	0.1740834781
102	0.1706536693
103	0.1668047617
104	0.1639935236
105	0.1614552237
106	0.1576438566
107	0.1557761859
108	0.1546474786
109	0.1533847085
110	0.1520934022
111	0.1507680961
112	0.1491389465
113	0.1481724022
114	0.1449371935
115	0.1440778098
116	0.1426676286
117	0.14179353
118	0.1406916351
119	0.1387886853
120	0.1379527158
121	0.1371203532
122	0.1365626928
123	0.1357366724
124	0.1352514488
125	0.134356337
126	0.1325157087
127	0.1315584729
128	0.1305837056
129	0.1296220566
130	0.1282185022
131	0.1268038006
132	0.1261542065
133	0.1256132965
134	0.1247312093
135	0.1232432028
136	0.1230715708
137	0.1225315661
138	0.1218463279
139	0.1211107898
140	0.1189709685
141	0.1180975427
142	0.1171700047
143	0.1166642522
144	0.1156004469
145	0.1147372567
146	0.1144021759
147	0.1137356875
148	0.113172874
149	0.1126105394
150	0.1111191241
151	0.1102937695
152	0.1099116361
153	0.1091385646
154	0.1087030662
155	0.1078789149
156	0.1074415634
157	0.1064926342
158	0.1057149945
159	0.1046184578
160	0.1043060261
161	0.1040213423
162	0.1034065053
163	0.1027185619
164	0.1022851513
165	0.1013022891
166	0.1007267829
167	0.1002610761
168	0.09981907477
169	0.09955731654
170	0.09906766792
171	0.09852453914
172	0.09785788833
173	0.09706696123
174	0.09663952914
175	0.09635706166
176	0.09586107423
177	0.09537946464
178	0.0950711019
179	0.09475506674
180	0.09454643403
181	0.0941623142
182	0.09359982453
183	0.09330233352
184	0.09272101911
185	0.09223521848
186	0.09172699475
187	0.09145780888
188	0.09003416517
189	0.08969861321
190	0.08867825248
191	0.08836871821
192	0.08794009846
193	0.08740506149
194	0.08721326102
195	0.08675915261
196	0.08622081119
197	0.08580072142
198	0.08472612274
199	0.08437517221
200	0.08410275825
201	0.08380305752
202	0.08361372795
203	0.08313715687
204	0.08294832025
205	0.08272464448
206	0.08236759319
207	0.08182046931
208	0.08125054915
209	0.08095355772
210	0.08042280817
211	0.08004592281
212	0.07948377939
213	0.07911231172
214	0.07881115215
215	0.07827111832
216	0.07775863884
217	0.0774141238
218	0.07702014624
219	0.07678453687
220	0.07627858737
221	0.07589964116
222	0.07578462093
223	0.07550977871
224	0.07513346198
225	0.07487343918
226	0.07472753456
227	0.07446136766
228	0.07421404386
229	0.07371058975
230	0.07328445114
231	0.07287951374
232	0.07264587639
233	0.07219569754
234	0.07192161113
235	0.0716227886
236	0.07115379393
237	0.07088681351
238	0.07052712605
239	0.07014921684
240	0.06987313541
241	0.06945677138
242	0.06922656811
243	0.06905180787
244	0.06862544048
245	0.06832335108
246	0.0681025879
247	0.06794655269
248	0.06777227384
249	0.06719767531
250	0.06713540519
251	0.06643795402
252	0.06604479944
253	0.06580056682
254	0.06551335196
255	0.06534045064
256	0.06517763712
257	0.06506420693
258	0.06493163188
259	0.06461926628
260	0.06424400476
261	0.06398210146
