iter	Passed	Remaining
0	10	5199
1	16	4057
2	22	3724
3	29	3605
4	36	3624
5	43	3552
6	49	3460
7	55	3399
8	62	3399
9	71	3506
10	79	3531
11	88	3605
12	96	3613
13	105	3647
14	115	3749
15	129	3909
16	145	4126
17	153	4114
18	161	4086
19	166	4002
20	172	3944
21	178	3888
22	184	3817
23	189	3758
24	195	3709
25	200	3655
26	205	3603
27	211	3565
28	216	3522
29	222	3479
30	228	3457
31	236	3462
32	242	3435
33	248	3403
34	253	3369
35	259	3340
36	264	3306
37	269	3277
38	275	3262
39	281	3234
40	286	3208
41	292	3188
42	297	3163
43	302	3138
44	308	3120
45	314	3105
46	320	3088
47	325	3068
48	331	3053
49	336	3030
50	342	3017
51	348	2998
52	352	2975
53	358	2961
54	364	2945
55	368	2925
56	374	2913
57	380	2896
58	385	2880
59	391	2872
60	397	2859
61	402	2842
62	408	2830
63	413	2816
64	418	2798
65	423	2787
66	429	2773
67	434	2757
68	441	2755
69	448	2753
70	454	2745
71	461	2741
72	467	2737
73	475	2740
74	484	2743
75	492	2747
76	500	2750
77	517	2800
78	529	2821
79	566	2976
80	588	3042
81	605	3089
82	614	3088
83	621	3078
84	627	3065
85	632	3045
86	637	3027
87	643	3011
88	648	2993
89	653	2978
90	658	2960
91	663	2944
92	669	2929
93	674	2912
94	679	2896
95	684	2878
96	689	2863
97	694	2847
98	698	2830
99	704	2817
100	709	2804
101	715	2793
102	720	2777
103	725	2762
104	730	2749
105	735	2734
106	740	2719
107	748	2717
108	760	2729
109	791	2807
110	800	2806
111	809	2804
112	814	2789
113	820	2778
114	828	2774
115	836	2769
116	844	2763
117	851	2757
118	858	2747
119	863	2735
120	869	2723
121	876	2714
122	883	2706
123	888	2693
124	892	2678
125	898	2666
126	902	2651
127	908	2641
128	914	2630
129	919	2618
130	925	2607
131	932	2598
132	937	2587
133	942	2574
134	948	2563
135	952	2549
136	957	2537
137	962	2525
138	967	2511
139	973	2502
140	979	2494
141	995	2510
